"행정구역","2026년08월_총인구수","2026년08월_세대수","2026년08월_세대당 인구","2026년08월_남자 인구수","2026년08월_여자 인구수","2026년08월_남여 비율"
"서울특별시 노원구 월계1동(1135056000)","20,133","10,320","          1.95","10,319","9,814","          1.05"
"서울특별시 노원구 월계2동(1135057000)","24,502","11,589","          2.11","11,707","12,795","          0.91"
"서울특별시 노원구 월계3동(1135058000)","27,617","12,837","          2.15","13,098","14,519","          0.90"
"서울특별시 노원구 공릉1동(1135059500)","35,130","18,960","          1.85","16,901","18,229","          0.93"
"서울특별시 노원구 공릉2동(1135060000)","40,678","18,084","          2.25","19,638","21,040","          0.93"
"서울특별시 노원구 하계1동(1135061100)","25,059","12,062","          2.08","11,885","13,174","          0.90"
"서울특별시 노원구 하계2동(1135061200)","19,421","7,580","          2.56","9,228","10,193","          0.91"
"서울특별시 노원구 중계본동(1135061900)","21,973","7,847","          2.80","10,606","11,367","          0.93"
"서울특별시 노원구 중계1동(1135062100)","25,709","8,928","          2.88","12,543","13,166","          0.95"
"서울특별시 노원구 중계4동(1135062400)","18,464","8,094","          2.28","8,840","9,624","          0.92"
"서울특별시 노원구 중계2.3동(1135062500)","30,976","14,888","          2.08","13,978","16,998","          0.82"
"서울특별시 노원구 상계1동(1135063000)","35,794","15,672","          2.28","17,099","18,695","          0.91"
"서울특별시 노원구 상계2동(1135064000)","18,502","8,560","          2.16","9,087","9,415","          0.97"
"서울특별시 노원구 상계3.4동(1135066500)","26,200","12,230","          2.14","12,995","13,205","          0.98"
"서울특별시 노원구 상계5동(1135067000)","21,971","10,861","          2.02","10,638","11,333","          0.94"
"서울특별시 노원구 상계6.7동(1135069500)","30,044","13,731","          2.19","13,704","16,340","          0.84"
"서울특별시 노원구 상계8동(1135070000)","21,207","9,114","          2.33","10,034","11,173","          0.90"
"서울특별시 노원구 상계9동(1135071000)","18,835","8,310","          2.27","8,757","10,078","          0.87"
"서울특별시 노원구 상계10동(1135072000)","17,830","7,766","          2.30","8,209","9,621","          0.85"
"서울특별시 은평구 (1138000000)","452,626","214,995","          2.11","213,742","238,884","          0.89"
"서울특별시 은평구 녹번동(1138051000)","35,037","17,560","          2.00","16,421","18,616","          0.88"
"서울특별시 은평구 불광제1동(1138052000)","33,540","16,273","          2.06","15,650","17,890","          0.87"
"서울특별시 은평구 불광제2동(1138053000)","26,084","14,190","          1.84","12,510","13,574","          0.92"
"서울특별시 은평구 갈현제1동(1138055100)","13,933","7,200","          1.94","6,656","7,277","          0.91"
"서울특별시 은평구 갈현제2동(1138055200)","26,554","12,757","          2.08","12,510","14,044","          0.89"
"서울특별시 은평구 구산동(1138056000)","30,488","13,543","          2.25","14,708","15,780","          0.93"
"서울특별시 은평구 대조동(1138057000)","26,779","15,524","          1.73","12,291","14,488","          0.85"
"서울특별시 은평구 응암제1동(1138058000)","31,894","15,144","          2.11","14,789","17,105","          0.86"
"서울특별시 은평구 응암제2동(1138059000)","26,693","10,950","          2.44","12,847","13,846","          0.93"
"서울특별시 은평구 응암제3동(1138060000)","22,660","12,520","          1.81","10,894","11,766","          0.93"
"서울특별시 은평구 역촌동(1138062500)","44,213","21,349","          2.07","20,643","23,570","          0.88"
"서울특별시 은평구 신사제1동(1138063100)","25,770","12,142","          2.12","12,213","13,557","          0.90"
"서울특별시 은평구 신사제2동(1138063200)","19,316","9,054","          2.13","9,482","9,834","          0.96"
"서울특별시 은평구 증산동(1138064000)","15,099","6,575","          2.30","7,242","7,857","          0.92"
"서울특별시 은평구 수색동(1138065000)","21,058","8,616","          2.44","10,124","10,934","          0.93"
"서울특별시 은평구 진관동(1138069000)","53,508","21,598","          2.48","24,762","28,746","          0.86"
"서울특별시 서대문구 (1141000000)","299,492","147,190","          2.03","141,003","158,489","          0.89"
"서울특별시 서대문구 천연동(1141052000)","16,465","7,734","          2.13","7,715","8,750","          0.88"
"서울특별시 서대문구 북아현동(1141055500)","14,984","6,988","          2.14","7,207","7,777","          0.93"
"서울특별시 서대문구 충현동(1141056500)","19,038","9,933","          1.92","9,063","9,975","          0.91"
"서울특별시 서대문구 신촌동(1141058500)","20,581","15,505","          1.33","8,735","11,846","          0.74"
"서울특별시 서대문구 연희동(1141061500)","32,954","18,639","          1.77","15,549","17,405","          0.89"
"서울특별시 서대문구 홍제제1동(1141062000)","24,185","11,199","          2.16","11,195","12,990","          0.86"
"서울특별시 서대문구 홍제제3동(1141064000)","17,103","7,929","          2.16","8,081","9,022","          0.90"
"서울특별시 서대문구 홍제제2동(1141065500)","11,770","5,227","          2.25","5,468","6,302","          0.87"
"서울특별시 서대문구 홍은제1동(1141066000)","23,338","10,429","          2.24","11,156","12,182","          0.92"
"서울특별시 서대문구 홍은제2동(1141068500)","27,015","12,749","          2.12","12,878","14,137","          0.91"
"서울특별시 서대문구 남가좌제1동(1141069000)","17,280","6,395","          2.70","8,236","9,044","          0.91"
"서울특별시 서대문구 남가좌제2동(1141070000)","28,284","13,250","          2.13","13,463","14,821","          0.91"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,039","6,710","          2.54","8,162","8,877","          0.92"
"서울특별시 서대문구 북가좌제2동(1141072000)","29,456","14,503","          2.03","14,095","15,361","          0.92"
"서울특별시 마포구 (1144000000)","356,008","180,559","          1.97","165,141","190,867","          0.87"
"서울특별시 마포구 아현동(1144055500)","28,578","12,117","          2.36","13,229","15,349","          0.86"
"서울특별시 마포구 공덕동(1144056500)","35,734","18,472","          1.93","16,603","19,131","          0.87"
"서울특별시 마포구 도화동(1144058500)","20,240","9,333","          2.17","9,574","10,666","          0.90"
"서울특별시 마포구 용강동(1144059000)","21,199","9,275","          2.29","9,928","11,271","          0.88"
"서울특별시 마포구 대흥동(1144060000)","14,161","8,655","          1.64","6,692","7,469","          0.90"
"서울특별시 마포구 염리동(1144061000)","16,697","7,706","          2.17","7,952","8,745","          0.91"
"서울특별시 마포구 신수동(1144063000)","22,086","10,159","          2.17","10,727","11,359","          0.94"
"서울특별시 마포구 서강동(1144065500)","24,274","12,310","          1.97","11,565","12,709","          0.91"
"서울특별시 마포구 서교동(1144066000)","23,368","15,128","          1.54","10,642","12,726","          0.84"
"서울특별시 마포구 합정동(1144068000)","15,454","8,873","          1.74","7,024","8,430","          0.83"
"서울특별시 마포구 망원제1동(1144069000)","18,345","10,003","          1.83","8,486","9,859","          0.86"
"서울특별시 마포구 망원제2동(1144070000)","17,042","8,162","          2.09","7,864","9,178","          0.86"
"서울특별시 마포구 연남동(1144071000)","13,799","8,291","          1.66","6,389","7,410","          0.86"
"서울특별시 마포구 성산제1동(1144072000)","18,234","9,643","          1.89","8,288","9,946","          0.83"
"서울특별시 마포구 성산제2동(1144073000)","37,809","19,650","          1.92","16,701","21,108","          0.79"
"서울특별시 마포구 상암동(1144074000)","28,988","12,782","          2.27","13,477","15,511","          0.87"
"서울특별시 양천구 (1147000000)","420,127","178,800","          2.35","204,281","215,846","          0.95"
"서울특별시 양천구 목1동(1147051000)","29,841","10,348","          2.88","14,339","15,502","          0.92"
"서울특별시 양천구 목2동(1147052000)","27,720","13,268","          2.09","13,263","14,457","          0.92"
"서울특별시 양천구 목3동(1147053000)","20,497","10,096","          2.03","9,697","10,800","          0.90"
"서울특별시 양천구 목4동(1147054000)","23,446","9,871","          2.38","11,383","12,063","          0.94"
"서울특별시 양천구 목5동(1147055000)","40,317","13,538","          2.98","19,934","20,383","          0.98"
"서울특별시 양천구 신월1동(1147056000)","18,415","9,881","          1.86","9,401","9,014","          1.04"
"서울특별시 양천구 신월2동(1147057000)","20,397","8,721","          2.34","9,909","10,488","          0.94"
"서울특별시 양천구 신월3동(1147058000)","13,430","7,410","          1.81","7,073","6,357","          1.11"
