municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at
41220,41220::hospital::003,41220::ambulance_base::011,33.65,2019,20449,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:15.097089+00:00
41220,41220::hospital::003,41220::ambulance_base::012,37.45,2247,17068,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:15.556630+00:00
41220,41220::hospital::003,41220::hospital::001,13.516666666666667,811,4330,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:15.903993+00:00
41220,41220::hospital::003,41220::hospital::002,22.166666666666668,1330,8594,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:16.250599+00:00
41220,41220::hospital::003,41220::hospital::004,11.716666666666667,703,2929,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:16.552138+00:00
41220,41220::hospital::004,41220::ambulance_base::001,12.9,774,5231,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:17.099642+00:00
41220,41220::hospital::004,41220::ambulance_base::002,31.183333333333334,1871,16108,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:17.522400+00:00
41220,41220::hospital::004,41220::ambulance_base::003,14.033333333333333,842,8279,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:17.861819+00:00
41220,41220::hospital::004,41220::ambulance_base::004,39.016666666666666,2341,31984,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:18.289402+00:00
41220,41220::hospital::004,41220::ambulance_base::005,11.55,693,3042,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:18.600637+00:00
41220,41220::hospital::004,41220::ambulance_base::006,7.033333333333333,422,2208,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:18.908128+00:00
41220,41220::hospital::004,41220::ambulance_base::007,21.116666666666667,1267,9165,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:19.248645+00:00
41220,41220::hospital::004,41220::ambulance_base::008,7.716666666666667,463,3641,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:19.548758+00:00
41220,41220::hospital::004,41220::ambulance_base::009,18.383333333333333,1103,9778,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:19.901149+00:00
41220,41220::hospital::004,41220::ambulance_base::010,24.783333333333335,1487,14468,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:20.264845+00:00
41220,41220::hospital::004,41220::ambulance_base::011,30.266666666666666,1816,16143,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:20.632190+00:00
41220,41220::hospital::004,41220::ambulance_base::012,25.333333333333332,1520,13637,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:21.023405+00:00
41220,41220::hospital::004,41220::hospital::001,14.616666666666667,877,5689,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:21.367737+00:00
41220,41220::hospital::004,41220::hospital::002,11.683333333333334,701,5163,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:21.699230+00:00
41220,41220::hospital::004,41220::hospital::003,11.383333333333333,683,2749,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:22.009941+00:00
