municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at,pair_set,reused_from
52110,52110::ambulance_base::003,52110::demand::5211366500,25.466666666666665,1528,10582,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:41.391076+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211367000,27.05,1623,12733,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:41.685924+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211151000,5.883333333333334,353,1896,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:41.891483+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211153000,9.366666666666667,562,2974,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:42.099901+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211160500,10.616666666666667,637,3497,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:42.346645+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211163500,7.733333333333333,464,3008,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:42.546611+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211165000,9.616666666666667,577,3465,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:42.760514+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211166000,9.683333333333334,581,3685,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:42.974694+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211167100,5.416666666666667,325,2027,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:43.175969+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211167200,5.7,342,1941,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:43.380129+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211168000,4.516666666666667,271,1712,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:43.571411+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211169100,14.3,858,5365,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:43.809863+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211169200,13.266666666666667,796,4841,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:44.058921+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211170100,10.683333333333334,641,3998,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:44.295764+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211170200,13.516666666666667,811,4816,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:44.549382+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211170300,14.75,885,5030,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:44.831325+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211171100,10.566666666666666,634,3846,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:45.063374+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211171200,9.516666666666667,571,3460,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:45.275819+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211171300,10.25,615,3939,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:45.500681+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211171400,14.35,861,5443,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:45.790637+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211173000,9.75,585,3639,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:46.013816+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211352500,2.716666666666667,163,508,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:46.225036+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211354000,10.6,636,3230,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:46.457816+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211355000,9.566666666666666,574,3461,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:46.692469+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211356000,12.466666666666667,748,4205,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:46.958625+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211357000,8.083333333333334,485,2799,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:47.168273+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211357500,5.216666666666667,313,1420,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:47.375056+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211360000,10.216666666666667,613,4207,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:47.620039+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211361100,12.75,765,4843,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:47.886270+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211361200,13.033333333333333,782,4119,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:48.154702+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211362000,15.733333333333333,944,6629,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:48.407620+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211364100,10.083333333333334,605,4057,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:48.664462+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211364200,14.283333333333333,857,5595,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:48.935967+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211364300,17.266666666666666,1036,6870,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:49.261450+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211365000,17.583333333333332,1055,9024,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:49.544859+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211366500,15.5,930,8469,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:49.813099+00:00,operations,
52110,52110::ambulance_base::004,52110::demand::5211367000,15.9,954,8987,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:50.099305+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211151000,16.166666666666668,970,5879,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:50.335839+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211153000,11.816666666666666,709,4614,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:50.542218+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211160500,17.5,1050,6304,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:50.785221+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211163500,9.883333333333333,593,3488,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:51.012328+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211165000,10.416666666666666,625,4051,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:51.224135+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211166000,8.433333333333334,506,3299,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:51.446430+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211167100,10.683333333333334,641,3928,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:51.672447+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211167200,15.166666666666666,910,5162,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:51.920736+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211168000,17.9,1074,6230,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:52.151229+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211169100,5.85,351,2151,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:52.354742+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211169200,4.883333333333334,293,1627,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:52.549822+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211170100,8.766666666666667,526,2882,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:52.766378+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211170200,7.683333333333334,461,2622,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:52.961339+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211170300,9.633333333333333,578,3512,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:53.158123+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211171100,9.433333333333334,566,3472,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:53.368754+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211171200,9.183333333333334,551,3183,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:53.579995+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211171300,11.25,675,4114,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:53.789407+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211171400,13.233333333333333,794,5200,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:54.021369+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211173000,17.55,1053,6284,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:54.256710+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211352500,15.1,906,5935,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:54.489374+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211354000,21.883333333333333,1313,7955,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:54.745244+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211355000,20.3,1218,7545,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:55.031793+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211356000,19.283333333333335,1157,7012,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:55.266567+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211357000,20.433333333333334,1226,7975,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:55.540043+00:00,operations,
52110,52110::ambulance_base::005,52110::demand::5211357500,18.666666666666668,1120,7206,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:55.803862+00:00,operations,
