category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,상업시설(식당),2,0.0026,0.0034
relif_occurplc_type_raw,상업시설(회사),2,0.0026,0.0034
relif_occurplc_type_raw,오락/문화시설(권선파출소),2,0.0026,0.0034
relif_occurplc_type_raw,오락/문화시설(매탄지구대),2,0.0026,0.0034
relif_occurplc_type_raw,오락/문화시설(서호지구대),2,0.0026,0.0034
relif_occurplc_type_raw,오락/문화시설(수원서부경찰서),2,0.0026,0.0034
relif_occurplc_type_raw,오락/문화시설(수원역),2,0.0026,0.0034
relif_occurplc_type_raw,오락/문화시설(영통지구대),2,0.0026,0.0034
relif_occurplc_type_raw,오락/문화시설(화서문지구대),2,0.0026,0.0034
relif_occurplc_type_raw,의료관련시설(빈센트병원),2,0.0026,0.0034
relif_occurplc_type_raw,의료관련시설(성빈센트병원 ),2,0.0026,0.0034
relif_occurplc_type_raw,의료관련시설(수병원),2,0.0026,0.0034
relif_occurplc_type_raw,의료관련시설(수원의료원),2,0.0026,0.0034
relif_occurplc_type_raw,의료관련시설(이춘택병원),2,0.0026,0.0034
relif_occurplc_type_raw,집(놀이터),2,0.0026,0.0034
relif_occurplc_type_raw,집단거주시설(봄빛요양원),2,0.0026,0.0034
relif_occurplc_type_raw,(경기도 수원시 팔달구 매산로3가 갓매산로26번길 23-0 ),1,0.0013,0.0017
relif_occurplc_type_raw,(미상),1,0.0013,0.0017
relif_occurplc_type_raw,공장/산업/건설시설(공사장),1,0.0013,0.0017
relif_occurplc_type_raw,공장/산업/건설시설(회사경비실),1,0.0013,0.0017
relif_occurplc_type_raw,기타( 주야간 보호센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(106동 13층),1,0.0013,0.0017
relif_occurplc_type_raw,기타(112),1,0.0013,0.0017
relif_occurplc_type_raw,기타(119상황실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(202번 버스 안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(2층역무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(66번 버스내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(88번 버스 안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(92번 버스 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(92번버스안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(GPS),1,0.0013,0.0017
relif_occurplc_type_raw,기타(cu 앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(가정법원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(강원산야초건강원 /),1,0.0013,0.0017
relif_occurplc_type_raw,기타(거래처 사무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(건강원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(건강체험센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(건물 옥상),1,0.0013,0.0017
relif_occurplc_type_raw,기타(건물 화장실내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(건물내 지하),1,0.0013,0.0017
relif_occurplc_type_raw,기타(검찰청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(경기중소기업성장지원센터 창고),1,0.0013,0.0017
relif_occurplc_type_raw,기타(경로당),1,0.0013,0.0017
relif_occurplc_type_raw,기타(경비실 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(경위도값),1,0.0013,0.0017
relif_occurplc_type_raw,기타(경찰서 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(경찰서 당직실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(경찰서 형사과),1,0.0013,0.0017
relif_occurplc_type_raw,기타(계단),1,0.0013,0.0017
relif_occurplc_type_raw,기타(고가도로 밑),1,0.0013,0.0017
